state,move,class
8/8/2P5/4np2/8/7K/6pB/5k2 b - - 0 55,e5c6,1
8/8/2n5/5p2/8/6K1/6pB/5k2 b - - 1 56,c6e5,1
8/8/8/4np2/5K2/8/6pB/5k2 b - - 3 57,e5g4,1
8/8/8/5p2/5Kn1/8/6p1/5kB1 b - - 5 58,f1g1,1
8/8/8/5K2/6n1/8/6p1/6k1 b - - 0 59,g4e3,1
8/8/8/8/4K3/4n3/6p1/6k1 b - - 2 60,g1f2,1
8/8/8/4K3/8/4n3/5kp1/8 b - - 4 61,g2g1q,1
8/8/3K4/8/8/4n3/5k2/6q1 b - - 1 62,g1g6,1
8/8/6q1/2K5/8/4n3/5k2/8 b - - 3 63,g6a6,1
8/8/q7/8/1K6/4n3/5k2/8 b - - 5 64,a6c4,1
8/8/8/K7/2q5/4n3/5k2/8 b - - 7 65,f2g2,1
8/8/1K6/8/2q5/4n3/6k1/8 b - - 9 66,e3d5,1
8/8/8/K2n4/2q5/8/6k1/8 b - - 11 67,c4c5,1
8/8/8/2qn4/K7/8/6k1/8 b - - 13 68,c5b4,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,0
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,0
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,b1c3,0
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,c3e4,0
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,e4g3,0
rn1qkbnr/pp2pppp/2p3b1/8/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq - 3 6,g1f3,0
rn1qkbnr/pp3ppp/2p1p1b1/8/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq - 0 7,f1c4,0
rn1qkb1r/pp3ppp/2p1pnb1/8/2BP4/5NN1/PPP2PPP/R1BQK2R w KQkq - 2 8,e1g1,0
rn1qk2r/pp3ppp/2pbpnb1/8/2BP4/5NN1/PPP2PPP/R1BQ1RK1 w kq - 4 9,f1e1,0
rn1qk2r/pp3pp1/2pbpnbp/8/2BP4/5NN1/PPP2PPP/R1BQR1K1 w kq - 0 10,c4d3,0
rn1qk2r/pp3pp1/2pbpn1p/8/3P4/3b1NN1/PPP2PPP/R1BQR1K1 w kq - 0 11,d1d3,0
rn1q1rk1/pp3pp1/2pbpn1p/8/3P4/3Q1NN1/PPP2PPP/R1B1R1K1 w - - 1 12,b2b3,0
rn1q1rk1/1p3pp1/2pbpn1p/p7/3P4/1P1Q1NN1/P1P2PPP/R1B1R1K1 w - - 0 13,a2a4,0
rn3rk1/1pq2pp1/2pbpn1p/p7/P2P4/1P1Q1NN1/2P2PPP/R1B1R1K1 w - - 1 14,c1b2,0
r4rk1/1pqn1pp1/2pbpn1p/p7/P2P4/1P1Q1NN1/1BP2PPP/R3R1K1 w - - 3 15,a1d1,0
r4rk1/2qn1pp1/2pbpn1p/pp6/P2P4/1P1Q1NN1/1BP2PPP/3RR1K1 w - - 0 16,a4b5,0
r4rk1/2qn1pp1/3bpn1p/pp6/3P4/1P1Q1NN1/1BP2PPP/3RR1K1 w - - 0 17,f3e5,0
r2r2k1/2qn1pp1/3bpn1p/pp2N3/3P4/1P1Q2N1/1BP2PPP/3RR1K1 w - - 2 18,e5d7,0
r5k1/2qr1pp1/3bpn1p/pp6/3P4/1P1Q2N1/1BP2PPP/3RR1K1 w - - 0 19,c2c4,0
1r4k1/2qr1pp1/3bpn1p/pp6/2PP4/1P1Q2N1/1B3PPP/3RR1K1 w - - 1 20,d3e2,0
1r4k1/2qr1pp1/3bpn1p/p7/2pP4/1P4N1/1B2QPPP/3RR1K1 w - - 0 21,b3c4,0
1r4k1/3r1pp1/1q1bpn1p/p7/2PP4/6N1/1B2QPPP/3RR1K1 w - - 1 22,d1b1,0
1r4k1/3r1pp1/1q2pn1p/p7/1bPP4/6N1/1B2QPPP/1R2R1K1 w - - 3 23,e1c1,0
1r4k1/3r1pp1/q3pn1p/p7/1bPP4/6N1/1B2QPPP/1RR3K1 w - - 5 24,c4c5,0
1r4k1/3r1pp1/4pn1p/p1P5/1b1P4/6N1/1B2qPPP/1RR3K1 w - - 0 25,g3e2,0
1r4k1/3r1pp1/4p2p/p1Pn4/1b1P4/8/1B2NPPP/1RR3K1 w - - 1 26,b2c3,0
1r4k1/r4pp1/4p2p/p1Pn4/1b1P4/2B5/4NPPP/1RR3K1 w - - 3 27,h2h3,0
1r3k2/r4pp1/4p2p/p1Pn4/1b1P4/2B4P/4NPP1/1RR3K1 w - - 1 28,c1c2,0
r4k2/r4pp1/4p2p/p1Pn4/1b1P4/2B4P/2R1NPP1/1R4K1 w - - 3 29,g2g3,0
r7/r3kpp1/4p2p/p1Pn4/1b1P4/2B3PP/2R1NP2/1R4K1 w - - 1 30,c3b4,0
1r6/r3kpp1/4p2p/p1Pn4/1B1P4/6PP/2R1NP2/1R4K1 w - - 1 31,c2a2,0
8/r3kpp1/4p2p/p1Pn4/1r1P4/6PP/R3NP2/1R4K1 w - - 0 32,b1b4,0
8/r3kpp1/4p2p/p1P5/1n1P4/6PP/R3NP2/6K1 w - - 0 33,a2a3,0
8/r3kpp1/4p2p/2P5/pn1P4/R5PP/4NP2/6K1 w - - 0 34,e2c3,0
8/r3kpp1/4p2p/2P5/p2P4/R1N3PP/2n2P2/6K1 w - - 2 35,a3a4,0
8/4kpp1/4p2p/2P5/r2P4/2N3PP/2n2P2/6K1 w - - 0 36,c3a4,0
8/4kpp1/4p2p/2P5/N2n4/6PP/5P2/6K1 w - - 0 37,f2f4,0
8/3k1pp1/4p2p/2P5/N2n1P2/6PP/8/6K1 w - - 1 38,g1f2,0
8/5pp1/2k1p2p/2P5/N2n1P2/6PP/5K2/8 w - - 3 39,g3g4,0
8/5pp1/2k1p2p/2P5/N4PP1/1n5P/5K2/8 w - - 1 40,h3h4,0
8/5pp1/2k1p2p/2n5/N4PPP/8/5K2/8 w - - 0 41,a4c3,0
8/3n1pp1/2k1p2p/8/5PPP/2N5/5K2/8 w - - 2 42,g4g5,0
8/3n1pp1/2k1p3/6Pp/5P1P/2N5/5K2/8 w - - 0 43,c3e2,0
8/3n1pp1/4p3/3k2Pp/5P1P/8/4NK2/8 w - - 2 44,e2g3,0
8/3n1p2/4p1p1/3k2Pp/5P1P/6N1/5K2/8 w - - 0 45,f2e3,0
8/5p2/4p1p1/2nk2Pp/5P1P/4K1N1/8/8 w - - 2 46,g3e2,0
8/5p2/6p1/2nkp1Pp/5P1P/4K3/4N3/8 w - - 0 47,f4e5,0
8/5p2/4n1p1/3kP1Pp/7P/4K3/4N3/8 w - - 1 48,e2c1,0
8/5p2/4n1p1/4k1Pp/7P/4K3/8/2N5 w - - 0 49,c1d3,0
8/5p2/4n1p1/5kPp/7P/3NK3/8/8 w - - 2 50,e3f3,0
8/5p2/6p1/5kPp/3n3P/3N1K2/8/8 w - - 4 51,f3g3,0
8/5p2/6p1/6Pp/3nk2P/3N2K1/8/8 w - - 6 52,d3e1,0
8/5p2/6p1/5nPp/4k2P/6K1/8/4N3 w - - 8 53,g3h3,0
8/5p2/6p1/6Pp/3nk2P/7K/8/4N3 w - - 10 54,e1g2,0
8/5p2/6p1/6Pp/4k2P/7K/4n1N1/8 w - - 12 55,g2e1,0
8/5p2/6p1/6Pp/7P/4k2K/4n3/4N3 w - - 14 56,h3h2,0
8/5p2/6p1/6Pp/3n3P/4k3/7K/4N3 w - - 16 57,h2h3,0
8/5p2/6p1/6Pp/7P/4kn1K/8/4N3 w - - 18 58,e1c2,0
8/5p2/6p1/6Pp/5k1P/5n1K/2N5/8 w - - 20 59,c2b4,0
8/5p2/6p1/6Pp/1N3k1P/7K/8/6n1 w - - 22 60,h3g2,0
8/5p2/6p1/6Pp/1N3k1P/8/4n1K1/8 w - - 24 61,b4c6,0
8/5p2/2N3p1/6Pp/6kP/8/4n1K1/8 w - - 26 62,c6e5,0
8/5p2/6p1/4N1Pp/7k/8/4n1K1/8 w - - 0 63,e5f7,0
8/5N2/6p1/6Pp/3n3k/8/6K1/8 w - - 1 64,g2h2,0
8/5N2/4n1p1/6Pp/7k/8/7K/8 w - - 3 65,h2h1,0
8/5N2/4n1p1/6Pp/6k1/8/8/7K w - - 5 66,h1g1,0
8/5N2/6p1/6np/6k1/8/8/6K1 w - - 0 67,f7e5,0
8/8/6p1/4Nknp/8/8/8/6K1 w - - 2 68,e5c6,0
8/8/2N1n1p1/5k1p/8/8/8/6K1 w - - 4 69,c6e7,0
8/4N3/4nkp1/7p/8/8/8/6K1 w - - 6 70,e7d5,0
8/8/4n1p1/3Nk2p/8/8/8/6K1 w - - 8 71,d5e3,0
8/8/4n3/4k1pp/8/4N3/8/6K1 w - - 0 72,g1f2,0
8/8/4n3/6pp/4k3/4N3/5K2/8 w - - 2 73,e3g2,0
8/8/4n3/6p1/4k2p/8/5KN1/8 w - - 0 74,g2e3,0
8/8/8/6p1/3nk2p/4N3/5K2/8 w - - 2 75,e3g4,0
8/8/8/6p1/3n1kNp/8/5K2/8 w - - 4 76,g4f6,0
8/8/5N2/8/3n1kpp/8/5K2/8 w - - 0 77,f2g2,0
8/8/4nN2/8/5kpp/8/6K1/8 w - - 2 78,f6d5,0
8/8/4n3/3N4/4k1pp/8/6K1/8 w - - 4 79,d5c3,0
8/8/4n3/5k2/6pp/2N5/6K1/8 w - - 6 80,g2f2,0
8/8/4n3/5k2/7p/2N3p1/5K2/8 w - - 0 81,f2f3,0
8/8/8/5k2/3n3p/2N2Kp1/8/8 w - - 2 82,f3g2,0
8/8/8/8/3n2kp/2N3p1/6K1/8 w - - 4 83,g2f1,0
8/8/8/8/3n3p/2N2kp1/8/5K2 w - - 6 84,f1e1,0
8/8/8/8/3n3p/2N2k2/6p1/4K3 w - - 0 85,e1d2,0
8/8/8/8/3n3p/2N2k2/3K4/6q1 w - - 0 86,d2d3,0
8/8/8/8/7p/2NK1k2/4n3/6q1 w - - 2 87,c3e2,0
8/8/8/8/7p/3Kqk2/4N3/8 w - - 1 88,d3c4,0
8/8/8/8/2K4p/4q3/4k3/8 w - - 0 89,c4d5,0
8/8/8/3K4/8/4q2p/4k3/8 w - - 0 90,d5c4,0
8/8/8/8/2K5/4q3/4k2p/8 w - - 0 91,c4d5,0
8/8/8/3K4/8/4q3/4k3/7q w - - 0 92,d5d6,0
8/8/3K3q/8/8/4q3/4k3/8 w - - 2 93,d6d7,0
8/3K4/4q3/8/8/4q3/4k3/8 w - - 4 94,d7d8,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c6,1
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d7d5,1
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,d5e4,1
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,c8f5,1
rn1qkbnr/pp2pppp/2p5/5b2/3P4/6N1/PPP2PPP/R1BQKBNR b KQkq - 2 5,f5g6,1
rn1qkbnr/pp2pppp/2p3b1/8/3P4/5NN1/PPP2PPP/R1BQKB1R b KQkq - 4 6,e7e6,1
rn1qkbnr/pp3ppp/2p1p1b1/8/2BP4/5NN1/PPP2PPP/R1BQK2R b KQkq - 1 7,g8f6,1
rn1qkb1r/pp3ppp/2p1pnb1/8/2BP4/5NN1/PPP2PPP/R1BQ1RK1 b kq - 3 8,f8d6,1
rn1qk2r/pp3ppp/2pbpnb1/8/2BP4/5NN1/PPP2PPP/R1BQR1K1 b kq - 5 9,h7h6,1
rn1qk2r/pp3pp1/2pbpnbp/8/3P4/3B1NN1/PPP2PPP/R1BQR1K1 b kq - 1 10,g6d3,1
rn1qk2r/pp3pp1/2pbpn1p/8/3P4/3Q1NN1/PPP2PPP/R1B1R1K1 b kq - 0 11,e8g8,1
rn1q1rk1/pp3pp1/2pbpn1p/8/3P4/1P1Q1NN1/P1P2PPP/R1B1R1K1 b - - 0 12,a7a5,1
rn1q1rk1/1p3pp1/2pbpn1p/p7/P2P4/1P1Q1NN1/2P2PPP/R1B1R1K1 b - - 0 13,d8c7,1
rn3rk1/1pq2pp1/2pbpn1p/p7/P2P4/1P1Q1NN1/1BP2PPP/R3R1K1 b - - 2 14,b8d7,1
r4rk1/1pqn1pp1/2pbpn1p/p7/P2P4/1P1Q1NN1/1BP2PPP/3RR1K1 b - - 4 15,b7b5,1
r4rk1/2qn1pp1/2pbpn1p/pP6/3P4/1P1Q1NN1/1BP2PPP/3RR1K1 b - - 0 16,c6b5,1
r4rk1/2qn1pp1/3bpn1p/pp2N3/3P4/1P1Q2N1/1BP2PPP/3RR1K1 b - - 1 17,f8d8,1
r2r2k1/2qN1pp1/3bpn1p/pp6/3P4/1P1Q2N1/1BP2PPP/3RR1K1 b - - 0 18,d8d7,1
r5k1/2qr1pp1/3bpn1p/pp6/2PP4/1P1Q2N1/1B3PPP/3RR1K1 b - - 0 19,a8b8,1
1r4k1/2qr1pp1/3bpn1p/pp6/2PP4/1P4N1/1B2QPPP/3RR1K1 b - - 2 20,b5c4,1
