state,move,class
rnb1kb1r/ppp2ppp/5n2/8/PP3p2/2p1q3/2P1Q1PP/1R2KBNR w Kkq - 0 10,g2g4,0
rnb1kb1r/ppp2ppp/8/8/PP3pn1/2p1q3/2P1Q2P/1R2KBNR w Kkq - 0 11,h2h4,0
r1b1kb1r/ppp2ppp/2n5/8/PP3pnP/2p1q3/2P1Q3/1R2KBNR w Kkq - 1 12,a4a5,0
r1b1kb1r/ppp2ppp/8/P7/1n3pnP/2p1q3/2P1Q3/1R2KBNR w Kkq - 0 13,h4h5,0
r1b1kb1r/ppp2ppp/8/P6P/5pn1/2p1q3/2n1Q3/1R2KBNR w Kkq - 0 14,e1d1,0
r3kb1r/ppp2ppp/8/P4b1P/5pn1/2p1q3/2n1Q3/1R1K1BNR w kq - 2 15,a5a6,0
3rkb1r/ppp2ppp/P7/5b1P/5pn1/2p1q3/2n1Q3/1R1K1BNR w k - 1 16,e2d3,0
3rkb1r/ppp2ppp/P7/7P/5pn1/2pbq3/2n5/1R1K1BNR w k - 0 17,g1h3,0
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2,d5d4,1
rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3,d4c3,1
rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4,g8f6,1
rnbqkb1r/ppp1pppp/5n2/8/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5,e7e5,1
rnbqkb1r/ppp2ppp/5n2/4p3/PP1PP3/2p5/2P2PPP/1RBQKBNR b Kkq - 0 6,d8d4,1
rnb1kb1r/ppp2ppp/5n2/4p3/PP1qPP2/2p5/2P3PP/1RBQKBNR b Kkq - 0 7,d4e4,1
rnb1kb1r/ppp2ppp/5n2/4p3/PP2qP2/2p1B3/2P3PP/1R1QKBNR b Kkq - 1 8,e4e3,1
rnb1kb1r/ppp2ppp/5n2/4p3/PP3P2/2p1q3/2P1Q1PP/1R2KBNR b Kkq - 1 9,e5f4,1
rnb1kb1r/ppp2ppp/5n2/8/PP3pP1/2p1q3/2P1Q2P/1R2KBNR b Kkq g3 0 10,f6g4,1
rnb1kb1r/ppp2ppp/8/8/PP3pnP/2p1q3/2P1Q3/1R2KBNR b Kkq - 0 11,b8c6,1
r1b1kb1r/ppp2ppp/2n5/P7/1P3pnP/2p1q3/2P1Q3/1R2KBNR b Kkq - 0 12,c6b4,1
r1b1kb1r/ppp2ppp/8/P6P/1n3pn1/2p1q3/2P1Q3/1R2KBNR b Kkq - 0 13,b4c2,1
r1b1kb1r/ppp2ppp/8/P6P/5pn1/2p1q3/2n1Q3/1R1K1BNR b kq - 1 14,c8f5,1
r3kb1r/ppp2ppp/P7/5b1P/5pn1/2p1q3/2n1Q3/1R1K1BNR b kq - 0 15,a8d8,1
3rkb1r/ppp2ppp/P7/5b1P/5pn1/2pQq3/2n5/1R1K1BNR b k - 2 16,f5d3,1
3rkb1r/ppp2ppp/P7/7P/5pn1/2pbq2N/2n5/1R1K1B1R b k - 1 17,e3e1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,0
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,a1b1,0
rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3,a2a4,0
rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4,b2b4,0
rnbqkb1r/ppp1pppp/5n2/8/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 1 5,d2d4,0
rnbqkb1r/ppp2ppp/5n2/4p3/PP1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6,a4a5,0
